"","Protein.Group","Protein.Names","Genes","First.Protein.Description","MOLM13_2W_2","MOLM13_WT_1","MV4_11_6W_1","MV4_11_WT_1","OCI_6W_2","OCI_WT_1","MOLM13_2W_3","MOLM13_6W_1","MOLM13_6W_2","MOLM13_6W_3","MOLM13_WT_2","MOLM13_WT_3","MV4_11_2W_1","MV4_11_2W_2","MV4_11_2W_3","MV4_11_6W_2","MV4_11_6W_3","MV4_11_WT_2","MV4_11_WT_3","OCI_2W_1","OCI_2W_2","OCI_2W_3","OCI_4W_2","OCI_6W_1","OCI_6W_3","OCI_WT_2","OCI_WT_3"
"10439","Q9UPU5","UBP24_HUMAN","USP24",NA,15730400,16269100,15759300,18466500,22272200,26820900,16459800,17349700,18106900,16037900,16819300,16488200,18280900,17771800,17096600,15605300,16570500,19352300,18401100,21977400,21568500,21857600,20593000,23842100,23494500,24527600,24553800
"10440","Q9UPU7","TBD2B_HUMAN","TBC1D2B",NA,5489230,6350130,5603590,4398580,4693040,4283670,5499140,6183320,4895260,7004160,5435340,5588860,5280920,5986520,5972530,5762850,4904990,3846840,3853860,2985910,3219020,3177740,3209060,4428430,4761610,3672640,3922160
"10441","Q9UPV0","CE164_HUMAN","CEP164",NA,512823,NA,NA,213222,493864,352321,NA,253960,473344,333061,325026,NA,756008,433104,NA,475373,543795,564252,488053,792756,591567,430619,520052,NA,752706,307026,NA
"10442","Q9UPV7","PHF24_HUMAN","PHF24",NA,NA,143580,181563,NA,NA,NA,NA,187458,NA,NA,NA,NA,NA,NA,NA,180296,NA,NA,NA,NA,NA,NA,NA,307571,218042,NA,NA
"10443","Q9UPV9","TRAK1_HUMAN","TRAK1",NA,NA,NA,NA,NA,1469770,1071900,NA,345199,NA,NA,NA,NA,787930,594007,493751,NA,530860,NA,840337,1052520,912740,1239590,1085910,1111420,1290710,1220660,1140440
"10444","Q9UPW0","FOXJ3_HUMAN","FOXJ3",NA,5339700,5716950,6588570,19501200,6771890,7520040,4912930,4812220,4391850,4395320,5755800,5223990,13065900,17876500,16395600,14199600,13512500,16294700,14657500,5659440,5231970,5141480,5461120,6356190,5642610,6830380,5935780
"10445","Q9UPW5","CBPC1_HUMAN","AGTPBP1",NA,3454230,3088220,3586140,4589700,1976960,1859680,3329900,2973180,3844880,3788270,3040630,2940260,3568560,2999590,3240340,4196890,4187090,4971260,4508950,1512430,1472500,1510110,1385060,1574550,2143180,1979770,1916310
"10446","Q9UPW6","SATB2_HUMAN","SATB2",NA,12603600,11897800,18085100,13408100,5750780,7968260,14308800,12716800,12460900,15329600,12842500,12840400,14841400,15384400,12746700,15156300,16576600,17530300,17189600,7285160,8720750,7686200,9188670,5802620,5714680,9535640,9396650
"10447","Q9UPX6","MNAR1_HUMAN","MINAR1",NA,NA,NA,1085770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10448","Q9UPY3","DICER_HUMAN","DICER1",NA,3193570,4198380,4014750,6791280,2781820,4328920,3748900,4464630,2374810,4191520,3878990,3704770,5865520,6088130,5806970,5823710,5588990,6164700,6515770,3301790,3729410,3220700,3022850,3396790,2131020,4228830,4226720
"10449","Q9UPY5","XCT_HUMAN","SLC7A11",NA,NA,NA,NA,NA,322184,385011,NA,354007,NA,160068,NA,NA,NA,NA,NA,NA,NA,NA,NA,634908,566730,635942,717046,908086,312047,537172,499060
