"","Protein.Group","Protein.Names","Genes","First.Protein.Description","MOLM13_2W_2","MOLM13_WT_1","MV4_11_6W_1","MV4_11_WT_1","OCI_6W_2","OCI_WT_1","MOLM13_2W_3","MOLM13_6W_1","MOLM13_6W_2","MOLM13_6W_3","MOLM13_WT_2","MOLM13_WT_3","MV4_11_2W_1","MV4_11_2W_2","MV4_11_2W_3","MV4_11_6W_2","MV4_11_6W_3","MV4_11_WT_2","MV4_11_WT_3","OCI_2W_1","OCI_2W_2","OCI_2W_3","OCI_4W_2","OCI_6W_1","OCI_6W_3","OCI_WT_2","OCI_WT_3"
"4425","Q14863","PO6F1_HUMAN","POU6F1",NA,NA,NA,NA,NA,1206680,NA,NA,NA,1708900,1471870,NA,NA,1623240,NA,NA,NA,NA,1372720,NA,NA,NA,NA,NA,NA,1697340,NA,942140
"4426","Q14872","MTF1_HUMAN","MTF1",NA,416686,403899,446627,430535,760114,705844,270427,288243,434034,305961,291624,270481,552000,545972,518422,528431,468768,515451,440705,921197,843349,676696,1034990,692270,838632,835461,680181
"4427","Q14914","PTGR1_HUMAN","PTGR1",NA,4445660,5176710,2664980,5771950,3978560,5074850,3358050,2519700,4145870,3024200,4916090,5012390,6635610,7812980,6437330,6793630,4082740,4748570,4634530,3822630,2244680,2035850,4226000,4578550,3086360,3404600,2326890
"4428","Q14916","NPT1_HUMAN","SLC17A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1668600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4429","Q14919","NC2A_HUMAN","DRAP1",NA,45320700,30852900,35271500,51755400,43015700,35143700,36395400,40297200,38036800,32499500,37023000,35423200,65591300,64672400,66005700,61813200,74311200,56335100,51009800,46369500,38018900,40286500,50183100,50724300,48637500,38058100,38265600
"4430","Q14938","NFIX_HUMAN","NFIX",NA,8367800,8500190,6330920,NA,5685830,4694150,8651530,7933870,6768760,8039410,8453090,7983330,2396020,2707250,3066790,3627880,4517260,3940590,3811310,5253140,4872060,4735710,4711450,5435760,5401140,4990370,4667530
"4431","Q14953","KI2S5_HUMAN","KIR2DS5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1031900,NA,NA,NA,NA,NA,NA,NA
"4432","Q14956","GPNMB_HUMAN","GPNMB",NA,NA,NA,NA,NA,69383900,21536300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26892900,22353400,39746400,18750600,28243800,48283500,23491200,22815800
"4433","Q14964","RB39A_HUMAN","RAB39A",NA,1679800,3122660,3053170,5883320,6862390,5069790,2528180,2598630,3438630,3205070,2592140,2527870,5946800,4660140,4627970,4156500,3945160,4274140,4389470,6381160,6294860,6372010,6135820,5795000,5558150,4917760,5057630
"4434","Q14966","ZN638_HUMAN","ZNF638",NA,27243900,25094000,25115600,18311700,21340700,23067800,25892600,22055800,29241500,25374000,25078400,27163700,21256400,18013100,19603400,23588300,23370900,22384500,21218600,23226500,23765300,22507200,23363300,23669700,20463600,25743800,25121600
"4435","Q14974","IMB1_HUMAN","KPNB1",NA,384412000,339556000,356313000,296809000,413295000,388324000,353041000,390771000,423878000,370899000,304704000,327909000,299763000,283221000,261362000,259848000,277842000,276960000,305838000,419176000,429853000,471267000,468076000,458905000,410093000,398611000,386484000
"4436","Q14978","NOLC1_HUMAN","NOLC1",NA,219764000,230696000,259612000,175248000,184930000,186848000,226316000,253413000,212179000,236889000,282774000,260586000,201274000,214317000,245218000,233477000,231243000,200829000,195529000,217044000,206073000,194305000,230695000,232146000,222147000,196060000,202124000
"4437","Q14980","NUMA1_HUMAN","NUMA1",NA,55758300,52057500,60677200,59578600,65094400,60196800,57600000,55951600,58946500,69195700,55231200,55209900,70305600,67732500,69808800,65266600,72209400,71979500,69905100,65547100,64800900,65416800,64915500,67273500,58395600,69015400,71735200
"4438","Q14990","ODFP1_HUMAN","ODF1",NA,739038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4439","Q14997","PSME4_HUMAN","PSME4",NA,8634180,8563490,9924180,9867920,8978940,8920650,8625580,9817990,8499250,7827190,8979120,9054380,9647730,10182400,9979050,9671140,9876900,10325100,10143100,9980200,8487590,8965060,10728000,9140400,11171100,9175490,8989770
"4440","Q14999","CUL7_HUMAN","CUL7",NA,1171010,NA,NA,1240650,2790740,3090350,NA,NA,NA,NA,NA,NA,2310450,1464940,1644100,NA,2326430,2055020,1768240,2827040,2853210,2306370,2178660,2242470,2818160,2647540,2389240
"4441","Q149M9","NWD1_HUMAN","NWD1",NA,6332590,NA,NA,3307480,2983230,5907250,NA,NA,7835680,4594200,6259160,6271500,4288950,4657750,5191200,NA,4356950,3809830,4869210,6154420,NA,NA,NA,3058100,4022430,NA,4204100
"4442","Q149N8","SHPRH_HUMAN","SHPRH",NA,3012990,4037690,3679100,1677960,3051230,3026280,3909760,2962180,4416860,4470680,2989500,3668770,2442080,1716270,1851330,2013960,3295710,2540350,2606940,2526980,2667140,2938320,2828510,2289150,3166900,2822540,2830060
"4443","Q14BN4","SLMAP_HUMAN","SLMAP",NA,5555220,4711960,6492250,5770550,6745200,6373780,4989730,5570040,5901900,5414440,5090860,5266860,5212420,4757070,4654890,5524900,5621180,5812980,5536550,5527270,5333190,5343600,5384050,4825260,6171820,6147120,6167050
"4444","Q14C86","GAPD1_HUMAN","GAPVD1",NA,38426200,37457200,38665800,46057700,48934000,43949400,38933100,40227500,47467600,37933600,35874800,37189700,42895400,43124500,41091600,40612300,40719500,43806000,44674100,42268500,40502300,41780100,42564300,43728600,47759400,42552400,43381500
"4445","Q14CB8","RHG19_HUMAN","ARHGAP19",NA,4066840,5596380,4369740,3667860,4593590,5843480,4096960,5611640,5284590,5444020,5080960,5126420,3295370,3222260,2982220,2622830,3003590,3540990,4248380,4766100,4969440,5340910,3968380,4197290,4527870,6077460,6330170
"4446","Q14CN2","CLCA4_HUMAN","CLCA4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1293690,NA,NA,NA,NA,NA,NA,NA
"4447","Q14CS0","UBX2B_HUMAN","UBXN2B",NA,3843960,2395140,3008490,1661420,1953360,1989750,2922420,3409390,2490590,1495230,3206860,3085540,1729350,1410350,1754690,2329420,1692480,NA,1183110,2044970,1565270,NA,1385550,1909890,1979640,1654130,1019470
"4448","Q14CX5","MF13A_HUMAN","MFSD13A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175964,NA,185213,NA,NA,NA,NA,NA,NA,NA
"4449","Q14CX7","NAA25_HUMAN","NAA25",NA,15437700,15439700,15828400,14749200,19291500,15163600,16389800,15474600,13882500,16250200,20045400,17640500,13093200,15397200,13625300,14773500,14859400,14969800,14529200,15552000,16110600,15679200,16120700,17464200,19126600,14033800,14105800
"4450","Q14CZ7","FAKD3_HUMAN","FASTKD3",NA,4491240,6911720,7275040,6359080,NA,NA,6757290,8008580,6060870,4359870,6092890,5180820,3271090,6280100,NA,NA,NA,3270050,NA,2024860,5541120,NA,NA,NA,3033150,3279900,1687260
"4451","Q14CZ8","HECAM_HUMAN","HEPACAM",NA,NA,NA,1593400,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016900,NA,NA,NA,NA,2092730,NA,NA,NA,1610940,NA,NA,NA,NA,1828680
"4452","Q15003","CND2_HUMAN","NCAPH",NA,40029200,38967400,55963500,37604800,26586900,40415500,40940000,57652000,45826100,52157000,35160000,36710100,33877500,36405800,35777900,29794500,38474700,34461100,40070700,29247200,32355600,30158800,37016000,25345300,22689000,44613200,46564700
"4453","Q15004","PAF15_HUMAN","PCLAF",NA,58467000,71576300,17237000,41903900,25715600,39211700,49227000,50878100,53003500,49298000,71878000,63458000,25855100,28017100,33813800,26186400,27683500,34536500,37734500,37810600,32762700,30578000,21294300,23228100,27184700,44885400,38985300
"4454","Q15005","SPCS2_HUMAN","SPCS2",NA,59030200,54557100,63634000,84688600,60616600,73287600,67055600,62069300,62354100,59762000,57199700,56619600,80450700,79929600,81352500,84070200,84621100,84123000,84448700,61938900,59142900,58472700,67707800,75057600,72492200,65332900,63613800
"4455","Q15006","EMC2_HUMAN","EMC2",NA,22901600,24323000,26045800,27630000,26537200,30401500,24765500,24288200,26770100,23950300,23402300,27112400,29554600,27740100,28287300,27114800,26523600,26003500,27544300,26399800,25634700,27766400,26043900,28352100,25304800,24890900,26519400
"4456","Q15007","FL2D_HUMAN","WTAP",NA,37497600,35359100,31858400,22840900,27822500,27202900,36041200,32624600,35768100,39124800,37064000,40500700,26727000,24619500,23166200,22078100,27718800,25678000,26889200,25815800,29614100,27760600,27907600,24932300,22913000,30009900,28765100
"4457","Q15008","PSMD6_HUMAN","PSMD6",NA,113459000,119724000,137255000,148686000,124185000,121755000,128712000,132367000,108318000,109762000,126857000,114857000,129746000,138262000,154558000,163560000,138496000,142594000,129565000,116860000,130327000,112957000,129972000,133280000,130236000,104602000,107710000
"4458","Q15011","HERP1_HUMAN","HERPUD1",NA,2899000,3381730,2543790,5719760,2227540,4026750,3599760,2838690,3059970,3131690,3341520,2898410,4636040,3881190,5067140,5463760,5002460,5360260,5401580,3551480,4040550,3051740,3795750,2609140,2190320,3467530,3239600
"4459","Q15012","LAP4A_HUMAN","LAPTM4A",NA,NA,NA,NA,9563730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8111290,NA,NA,7409450,9727240,NA,NA,NA,NA,NA,NA,NA,NA
"4460","Q15013","MD2BP_HUMAN","MAD2L1BP",NA,3417420,3713280,2846740,2939340,4901010,6210260,3289800,3045050,3681320,2613440,2659730,3567830,NA,2586970,NA,2181070,NA,NA,2704360,4666800,3071920,4765990,3691130,4031010,4317420,6706870,6289670
"4461","Q15014","MO4L2_HUMAN","MORF4L2",NA,4759120,5422620,3176560,5051270,6122950,6485380,4463060,3899190,5054650,4307400,5727970,5549680,4194530,4413310,5049810,4332530,4305370,5077050,6188720,7857600,8056050,6748200,6181230,8045680,7491680,7705250,7325300
"4462","Q15018","ABRX2_HUMAN","ABRAXAS2",NA,21727200,21919200,21291100,26971500,19297100,20111100,21410300,24213400,20063400,21350900,21071100,22781000,29112100,27711400,30033000,28085800,25297100,24243000,23431500,16858800,18281800,18455100,13101300,17865100,18480500,15577500,16074100
"4463","Q15019","SEPT2_HUMAN","SEPTIN2",NA,98484000,94877900,104010000,113429000,91469400,106845000,111747000,106373000,96881700,97160100,104747000,93497800,95391100,121950000,121490000,129563000,106689000,89515100,85754300,94775400,97143700,99904400,79683800,111649000,85171700,102273000,97976000
"4464","Q15020","SART3_HUMAN","SART3",NA,36893100,34059300,34964400,24264500,41489700,35048400,38847500,35078900,37393700,39955300,36091600,36539000,28495900,27487800,26767000,26981300,29850900,28953700,26891600,38940600,36827700,38680100,39210000,41521000,41729700,33200200,35534300
"4465","Q15021","CND1_HUMAN","NCAPD2",NA,47805400,49928000,64984100,45658500,28706200,49664000,52390900,71650400,54515600,59690400,48881600,50252700,42833400,46593100,44396400,35672900,49119900,46191700,51343900,39148100,42982100,36813000,46856700,33267000,31504200,54854600,5.6e+07
"4466","Q15022","SUZ12_HUMAN","SUZ12",NA,17733000,19211300,19370100,13726300,14287400,14704700,19297600,19617500,18533400,19078900,20369200,20489400,15428600,17666000,15545200,15782700,18090300,17366900,16910300,15442200,14524900,16305100,16680800,17479000,13387000,17293800,18913100
"4467","Q15024","EXOS7_HUMAN","EXOSC7",NA,29736200,31031100,32428200,28395500,29849300,33280200,27643000,32101500,24208000,26910200,27238500,25687000,21927200,23171200,24659900,22603600,23778600,19909300,21508000,30565000,24964700,25337900,26594400,27445200,26963700,29098000,28113300
"4468","Q15025","TNIP1_HUMAN","TNIP1",NA,3746660,3296250,5129080,8895450,6576530,8676210,3564020,4595340,6478460,3443450,3716530,3432700,5946480,6564320,7516760,7040630,6969040,6094550,6582290,8813030,8183520,6824850,9671090,6728970,6581010,7948790,7064170
"4469","Q15027","ACAP1_HUMAN","ACAP1",NA,6871830,4820680,13432900,5147810,23665700,20656400,7466030,9513450,16488300,11317600,3751120,3705700,9806740,7275660,9882050,9279880,9965820,6066130,4441030,23735600,26014400,24309100,15601900,24377100,23421900,18340000,18285700
"4470","Q15029","U5S1_HUMAN","EFTUD2",NA,175826000,183374000,183856000,160231000,204308000,180002000,192461000,187929000,187355000,202453000,187919000,185506000,177675000,182840000,165072000,168963000,184194000,184525000,187202000,212410000,213206000,211384000,228629000,193995000,216185000,200114000,197944000
"4471","Q15031","SYLM_HUMAN","LARS2",NA,18572600,23990500,21355500,17650900,22638700,22052200,20180400,23089400,22792300,20649900,21872900,23080000,18452500,17475500,14060400,16086700,16129000,20000900,20320100,18861900,25328500,24472800,23662600,21617500,22168300,24692000,22052400
"4472","Q15032","R3HD1_HUMAN","R3HDM1",NA,5799270,5496550,5504950,6620610,4210980,5434230,5817320,6529620,5723130,5189410,5723140,5757640,6864080,6738420,7305650,7426280,8390720,7327860,7504530,4022960,4670210,3624760,4078030,4197170,4683770,4461640,4237390
"4473","Q15034","HERC3_HUMAN","HERC3",NA,1045500,2399330,2084550,1621640,3588680,4098390,1995460,2636370,2398040,2260310,2708470,2285200,1580520,1886390,2298750,2341310,NA,3038830,1330800,3779820,5261410,4175360,3850070,4706920,3999570,3903650,4326610
"4474","Q15035","TRAM2_HUMAN","TRAM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3955510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4475","Q15036","SNX17_HUMAN","SNX17",NA,15100000,14104200,9908290,27415700,29840300,20252700,15222700,12531100,13037100,11764100,13259100,12957500,28519500,27246700,27448000,28846500,26610400,29911300,27575800,31644400,27494000,30069400,28522500,41761000,29144400,18545100,18194900
"4476","Q15040","JOS1_HUMAN","JOSD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425057,723119,643566,NA,NA,NA,676127,NA,NA,NA,NA
"4477","Q15041","AR6P1_HUMAN","ARL6IP1",NA,68106100,62391300,51360800,90411700,86519700,90971500,62061500,79461600,85679000,68321200,62162500,65201600,86523700,82734200,79235200,67957500,86224000,85219800,88685200,89095600,85474200,89971400,89708900,76373700,95743200,99334600,95800300
"4478","Q15042","RB3GP_HUMAN","RAB3GAP1",NA,26586800,22734400,25569000,15391100,13882700,18649500,27877800,25221800,31613300,24947500,22497500,24524100,19751600,17064600,16973200,17777800,18995200,18618700,17699300,18560000,18210500,18183600,18603700,21216800,14504800,19155000,19234300
"4479","Q15043","S39AE_HUMAN","SLC39A14",NA,25108700,27158600,27655300,71556700,22082900,30643800,24520600,28054500,23644600,26873300,25143200,25758300,45507400,51355200,53687200,55012500,72647100,56894000,66979600,37580500,25926000,32742000,38273500,26201900,23733900,25549200,36858900
"4480","Q15046","SYK_HUMAN","KARS1",NA,204612000,194646000,193903000,169885000,150732000,147033000,200927000,225667000,203755000,211199000,192772000,198132000,179307000,168477000,173258000,173206000,165434000,174705000,177271000,163735000,147393000,150556000,176891000,163232000,171676000,150371000,141179000
"4481","Q15047","SETB1_HUMAN","SETDB1",NA,7608530,6759530,7419390,6869140,6274130,7190520,7657120,5703590,7068910,5582060,5713020,5210000,7295570,6814710,7394590,13798400,8942530,7893620,8186970,7403580,6452580,6172270,6127820,6302190,6972450,6907340,6083930
"4482","Q15048","LRC14_HUMAN","LRRC14",NA,2251550,2200410,2235140,1465620,1053850,1515130,2007270,1766080,1680260,1377010,2189110,2012550,1330700,1441020,1550490,1424500,1368680,1483010,1454320,1476440,1094850,1135500,1048850,1165170,1543830,1151840,960622
"4483","Q15049","MLC1_HUMAN","MLC1",NA,104743,NA,185095,321525,NA,260245,NA,100252,NA,NA,201222,140468,204203,160842,159200,258597,124465,224236,229609,NA,NA,NA,NA,NA,NA,NA,NA
"4484","Q15050","RRS1_HUMAN","RRS1",NA,106303000,112725000,97462000,46597100,83273000,73428800,82461900,84282400,112807000,104007000,112905000,116850000,48378000,46374900,49054600,47868600,56524100,56167000,55124100,82656800,83600700,81744500,83803200,72912800,82718200,90256500,83648800
"4485","Q15051","IQCB1_HUMAN","IQCB1",NA,2489730,2658580,2594240,2275930,2954480,2514740,2147690,2176830,NA,1612920,2325860,2519880,NA,2448370,2615570,2029800,NA,NA,2219620,NA,NA,2425600,NA,NA,NA,NA,2099870
"4486","Q15052","ARHG6_HUMAN","ARHGEF6",NA,71255600,64532900,59394800,78811100,106980000,127947000,71689100,68519200,78864500,63353600,61746300,66361700,93015700,90151700,82435000,84628400,81344900,77166100,76838900,106482000,103952000,110226000,90737800,125423000,112504000,122156000,115125000
"4487","Q15053","K0040_HUMAN","KIAA0040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,920319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4488","Q15054","DPOD3_HUMAN","POLD3",NA,20791000,20019800,25013900,29276500,25462400,29483000,21550800,24526700,19700600,24224100,20145600,18761500,29751400,28162200,31538400,29148800,35024900,30142400,31845200,26771800,27006600,25956800,28329800,26102300,26694400,30753800,30253800
"4489","Q15056","IF4H_HUMAN","EIF4H",NA,259485000,224192000,230571000,210554000,219800000,195613000,241211000,265348000,232451000,216290000,254603000,256464000,217818000,201445000,266258000,222463000,253383000,189724000,199644000,250522000,228764000,220059000,223422000,241827000,214700000,215318000,210932000
"4490","Q15057","ACAP2_HUMAN","ACAP2",NA,17329900,14550300,19749800,15823300,36644700,38679400,17666200,16977900,16352300,19819400,14334300,15174300,17034500,15089100,16156900,16367800,16208400,16116100,14372300,39280900,36332700,37233800,37221600,42240200,37563700,33994900,35283100
"4491","Q15058","KIF14_HUMAN","KIF14",NA,3687070,3038480,3462930,2247620,3965020,4652450,3533430,4422390,5369270,3572440,2536960,2794750,1884170,1923470,1882300,NA,1950860,1788350,1784410,4613100,4780240,3995210,5917790,3551210,4476010,4905720,4862830
"4492","Q15059","BRD3_HUMAN","BRD3",NA,21997800,17203000,17731000,20680500,24884100,25831100,22647300,18030400,24748700,23995900,17841900,18204700,28529200,27973200,26869200,24300700,32938700,26764700,26380500,25401300,25485900,28475200,24418300,23370800,21663300,32011600,31411200
"4493","Q15061","WDR43_HUMAN","WDR43",NA,43022500,53296600,48138100,29184700,33223800,25487400,44044600,35990800,41996100,48935200,46308600,49283600,36120500,36371700,31935700,27926600,42239100,45265900,39315400,35547300,32504600,31505800,34001900,28627000,35053800,30139500,30313000
"4494","Q15067","ACOX1_HUMAN","ACOX1",NA,9071660,9344080,9671100,10975700,15672900,12417700,7892070,7404750,7903780,6508700,8840120,7565980,11146000,10681800,11076300,10287200,8755810,10067100,9956900,18118300,11990200,15752900,12155100,15210500,15922800,8336690,9797200
"4495","Q15070","OXA1L_HUMAN","OXA1L",NA,18091900,22281300,20675400,23602100,10999600,15888600,17721500,21425300,20674000,18412400,22352500,21064100,24800900,23788300,20774300,21742100,20106500,24143800,25674600,13718500,14150300,15905900,13952900,11262000,8992510,17660900,16942900
"4496","Q15072","OZF_HUMAN","ZNF146",NA,5199250,4755340,4583600,5912200,3382630,3941530,5070650,4521320,4149640,6102970,4312010,4844250,4581030,4709910,4284320,6214860,5981810,7442670,7659830,3642000,4261400,4941920,4356730,3425540,3334030,4560370,5007130
"4497","Q15075","EEA1_HUMAN","EEA1",NA,30736700,26826100,28360900,31446200,32113400,41555800,27951200,26819400,28266000,23235500,30916000,30576000,24386900,24777500,34406500,29241500,25773600,24006200,24753800,36619500,30089500,29424900,30085700,35877800,35786200,33750200,34854400
"4498","Q15077","P2RY6_HUMAN","P2RY6",NA,NA,1539870,NA,1080580,NA,NA,2007880,NA,NA,NA,NA,1180730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4499","Q15080","NCF4_HUMAN","NCF4",NA,12101200,7341030,6639210,42170100,53793700,38112400,12526100,7748040,13222800,8354430,6485600,6306450,57408900,54086000,50647600,46546000,42564800,46749800,44576700,69291700,73438100,70796500,49214700,50163800,48902300,39275000,38902700
"4500","Q15084","PDIA6_HUMAN","PDIA6",NA,431258000,460407000,385186000,678137000,1126710000,785059000,441164000,397814000,502265000,425133000,440842000,460378000,594615000,638322000,657230000,638862000,631227000,581044000,630640000,1016220000,835190000,1049860000,1095840000,1550930000,924012000,740630000,777193000
"4501","Q15102","PA1B3_HUMAN","PAFAH1B3",NA,182161000,175084000,160556000,151793000,164570000,124901000,168194000,178294000,187999000,210089000,188435000,183034000,139088000,119503000,120436000,135308000,121659000,165457000,161421000,153219000,149527000,160478000,142141000,133613000,166125000,154534000,158163000
"4502","Q15118","PDK1_HUMAN","PDK1",NA,9487620,8191310,9066310,5828860,23711300,19171900,9057410,7180000,17232900,8619070,6421010,7101220,7789940,7249600,5209940,4591080,6470780,6905810,7449300,9869830,12448400,16045500,8951880,12370800,17295200,17942000,18628200
"4503","Q15119","PDK2_HUMAN","PDK2",NA,710005,1860190,847459,1436470,2447540,2392560,964469,1267420,1260530,NA,1347450,1385230,1196850,1224870,976668,NA,962104,1479810,1424310,1554010,1893220,2247880,1745540,2000700,2152840,1830670,1659850
"4504","Q15120","PDK3_HUMAN","PDK3",NA,NA,862184,NA,NA,2250550,2662640,1304970,NA,468936,684242,842342,NA,1085080,1032510,NA,772485,NA,832998,NA,2159730,2153190,2381500,NA,1608770,2235720,2630260,2474820
"4505","Q15121","PEA15_HUMAN","PEA15",NA,71628200,24526700,27897000,32933200,64249100,44568800,64806800,28761800,101111000,42340500,25474000,28401400,64111800,62784000,62896200,52643700,57818100,33037300,34521200,59976400,60334700,59189900,65719200,43153000,62320200,48157700,50318500
"4506","Q15125","EBP_HUMAN","EBP",NA,70818900,41609200,59372600,38140600,76164000,69139700,58139800,44331200,75085200,51147900,44904200,49494200,27126600,35090500,28954800,32780400,30939300,33477300,31453500,56676000,55836200,62841900,67324500,75446100,63195300,78581300,73166700
"4507","Q15126","PMVK_HUMAN","PMVK",NA,40189100,26559200,46789400,33664500,28196900,24930200,41639700,29803200,46602400,28953400,26641200,33909500,32278700,37822600,34191200,43562000,30102800,33992400,44672000,25931700,22875200,32474400,33258500,33013900,26360300,30340400,34005700
"4508","Q15131","CDK10_HUMAN","CDK10",NA,NA,472290,NA,NA,NA,932006,NA,NA,695726,762233,728241,502059,654264,773627,NA,NA,939818,986991,1099450,NA,632324,NA,827727,871543,NA,1021640,1212700
"4509","Q15149","PLEC_HUMAN","PLEC",NA,117512000,134417000,103303000,109970000,60566500,97295700,124260000,95453200,82808900,114478000,136137000,135501000,164259000,152860000,151133000,124202000,127292000,107483000,102766000,79879100,69771200,73768600,80153100,46774200,63070100,88920600,88467100
"4510","Q15154","PCM1_HUMAN","PCM1",NA,27301800,30577400,32732500,32951300,31156200,33379400,25587800,34341600,34769100,27527700,29585800,30945700,28796100,30014500,31282900,25099100,28574100,30108500,31710100,25868800,26928700,25690900,25108800,30684900,32377400,32258700,32340000
"4511","Q15155","NOMO1_HUMAN","NOMO1",NA,55121900,52809100,50633700,60088200,57816200,59386800,59021200,52879500,49193400,53394600,55054200,56784600,58833400,58503800,60898600,61563400,57634500,59902800,58207400,58721900,55761100,54381700,62759800,61793200,63466300,57974500,60148300
"4512","Q15165","PON2_HUMAN","PON2",NA,1918890,1424130,2263200,877122,3747530,2608830,2413270,1724720,3377740,1661500,2042300,1741670,1173380,1542500,1547890,1069210,1021730,458494,1038890,3055580,2399540,3114330,4679540,3166690,5045430,4147650,3662890
"4513","Q15170","TCAL1_HUMAN","TCEAL1",NA,NA,NA,NA,NA,1517710,698622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575664,527658,1029200,569552,2402760,1443690,621420,706444
"4514","Q15172","2A5A_HUMAN","PPP2R5A",NA,7609120,4564830,5815680,5973860,9289350,11416500,7715350,5024120,8179920,4550240,4443160,4841950,6071630,5627470,5548610,5807720,5197590,6629500,6068630,11436400,7925140,10371200,9644620,10015400,10944300,9073680,9328950
"4515","Q15181","IPYR_HUMAN","PPA1",NA,332578000,312850000,284489000,283777000,545265000,463795000,293786000,320617000,344101000,337077000,294209000,303990000,256893000,270690000,247195000,301041000,303403000,292162000,314315000,450439000,523512000,466162000,513850000,404532000,493037000,439503000,424012000
"4516","Q15185","TEBP_HUMAN","PTGES3",NA,449925000,407356000,476410000,537701000,522871000,565342000,467317000,446478000,457248000,426066000,386121000,343581000,464849000,541097000,523584000,482745000,532841000,509448000,483986000,577058000,521003000,557974000,640452000,545760000,583635000,559392000,548996000
"4517","Q15195","PLGA_HUMAN","PLGLA",NA,NA,NA,NA,NA,NA,NA,1723010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1576190,836338,NA,NA,1053990,509601,NA,614860,NA
"4518","Q15208","STK38_HUMAN","STK38",NA,19623100,19484400,18780300,13867900,19652300,20162000,18357100,20251600,20219100,20654000,18273900,18032300,16888200,15533600,14324100,16723600,16733100,16996800,14979000,18903400,18163900,18305500,16068800,15500100,21793600,17729100,20240100
"4519","Q15223","NECT1_HUMAN","NECTIN1",NA,2722560,NA,NA,18846800,4302840,3495690,4245430,NA,NA,NA,NA,NA,9348460,9737760,12930000,11985900,8751570,13156800,15067500,3529420,3390810,3376280,NA,3492830,3687400,3366670,3341070
"4520","Q15233","NONO_HUMAN","NONO",NA,304266000,277983000,293710000,236713000,242464000,303199000,336682000,311883000,270345000,288819000,324033000,307907000,297959000,303189000,284776000,320312000,315005000,315518000,304034000,324745000,269868000,287183000,315067000,345451000,303219000,310056000,282084000
"4521","Q15238","PSG5_HUMAN","PSG5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617240,NA
"4522","Q15257","PTPA_HUMAN","PTPA",NA,77631200,65220600,78699700,75125700,100500000,93489100,72700000,81246400,70463100,67003000,65545900,65905700,88909800,77293800,82356800,84563700,78692000,71108000,77048500,107786000,86563100,89582600,99693100,106952000,107018000,85969800,84447900
"4523","Q15269","PWP2_HUMAN","PWP2",NA,21358500,30613700,25983700,15202900,27460100,18477400,24140900,21793600,22817400,30515800,24327200,25210500,20303300,20393300,16345700,13379900,20651200,24387700,21609100,22917900,25717300,26956600,24471500,18555000,24483600,23158600,23035000
"4524","Q15274","NADC_HUMAN","QPRT",NA,1655180,748487,2078420,1106930,7096940,12415900,1777380,821295,7040640,1185190,735164,1062830,4744690,5230940,5407890,3231770,2853280,1068030,1090630,7215870,3839400,6038980,8211460,6763120,8702060,7990200,7638810
"4525","Q15276","RABE1_HUMAN","RABEP1",NA,12752800,11208500,12401600,13897300,18032600,15912700,11765200,11921300,15185600,12148600,10508700,11227500,14691100,14118400,14257700,13735700,14321500,11815200,11812800,14945800,14535900,14114700,15584800,14050200,16339100,15035900,15549600
"4526","Q15283","RASA2_HUMAN","RASA2",NA,2228840,2503590,2292180,1352640,4520990,4400650,1780230,2050730,1741830,1627920,1972350,1991810,1205660,1322230,1297860,1140480,1042090,1272840,1070820,4596310,4619900,4698280,3713780,4780720,4401030,4086590,3495950
"4527","Q15286","RAB35_HUMAN","RAB35",NA,65936800,66950700,66101500,53893600,58822900,70460600,74918400,68714600,58465100,49105200,69304500,62633700,41997000,42858300,47977400,56157900,42409000,41819600,40566900,68184800,61389900,61845900,58162900,76712700,64809000,51442600,51118600
