"","MOLM13_2W_2","MOLM13_WT_1","MV4_11_6W_1","MV4_11_WT_1","OCI_6W_2","OCI_WT_1","MOLM13_2W_3","MOLM13_6W_1","MOLM13_6W_2","MOLM13_6W_3","MOLM13_WT_2","MOLM13_WT_3","MV4_11_2W_1","MV4_11_2W_2","MV4_11_2W_3","MV4_11_6W_2","MV4_11_6W_3","MV4_11_WT_2","MV4_11_WT_3","OCI_2W_1","OCI_2W_2","OCI_2W_3","OCI_6W_1","OCI_6W_3","OCI_WT_2","OCI_WT_3"
"Q9Y3R5",0.94919,0.95664,0.95246,0.93572,0.95371,0.96197,0.94916,0.95384,0.9549,0.96096,0.95546,0.95989,0.92725,0.91829,0.91871,0.91808,0.92939,0.94392,0.9389,0.95388,0.95854,0.957,0.97312,0.96918,0.9657,0.96279
"Q9Y3S2",0.99632,0.98338,0.99626,0.98442,0.97715,0.96669,0.98492,0.99253,0.98385,0.97638,0.97513,0.97371,0.97182,0.97059,0.98139,0.9791,0.9629,0.97273,0.98221,0.96083,0.96274,0.97772,0.96183,0.96462,0.96294,0.97721
"Q9Y3T6",0.922,0.92062,0.92657,0.95303,0.93248,0.9222,0.92285,0.93108,0.92395,0.92575,0.92507,0.91814,0.95602,0.94536,0.94633,0.96082,0.95838,0.96178,0.96276,0.92944,0.91947,0.93798,0.92121,0.93637,0.93493,0.93878
"Q9Y3T9",1.08744,1.10209,1.09681,1.06663,1.07977,1.05377,1.09405,1.08425,1.09251,1.10134,1.09052,1.08886,1.07895,1.0765,1.06746,1.05991,1.08474,1.09226,1.08687,1.06466,1.07676,1.08107,1.05572,1.07434,1.07763,1.07557
"Q9Y3U8",1.29143,1.29408,1.29676,1.29027,1.28606,1.28466,1.29714,1.28813,1.29452,1.29892,1.29188,1.29324,1.29195,1.29483,1.29592,1.29677,1.30086,1.30148,1.30362,1.30164,1.29197,1.29131,1.29738,1.29628,1.30091,1.29412
"Q9Y3X0",1.04197,1.02377,1.01444,1.01095,0.98664,0.96403,1.02853,1.02602,1.01381,1.0279,1.02082,1.02867,0.98856,0.97435,1.00831,1.01083,1.00169,1.00789,1.00847,0.97632,0.97508,0.97986,0.97458,0.97796,0.97403,0.97455
"Q9Y3Y2",1.06162,1.07237,1.08321,1.05425,1.00237,1.06328,1.0667,1.06541,1.03719,1.02062,1.08633,1.06463,1.03395,1.06589,1.06209,1.077,1.04009,1.034,1.02298,1.03167,0.96736,0.99574,1.03768,1.0145,1.02621,1.02355
"Q9Y3Z3",1.07332,1.00948,0.97523,1.18853,1.18191,1.1616,1.06062,0.98406,1.04868,1.01331,1.00378,1.0108,1.19536,1.18285,1.18679,1.1877,1.19006,1.19448,1.19464,1.18594,1.17468,1.18199,1.15549,1.17278,1.16545,1.16604
"Q9Y421",1.04607,1.05917,1.03577,1.08499,1.02808,1.04633,1.03988,1.05846,1.03606,1.05415,1.07049,1.06168,1.05769,1.06848,1.07329,1.07341,1.05898,1.06816,1.07319,1.03915,1.05201,1.04291,1.03378,1.04525246917655,1.03717,1.04267
"Q9Y448",1.00633,1.0011,1.03476,1.00142,0.98409,0.97738,0.99967,1.03292,1.02041,1.04633,1.01064,1.00725,1.00718,1.00509,1.01231,0.99352,1.02026,0.99725,1.02113,0.99948,1.01085,0.98471,0.98511,0.98464,0.99829,0.99941
